"movil-100", "84:10:d:5c:cb:75", "232209", "-27.358222,-65.581182", "27° 21' 29.6" S, 65° 34' 52.3" W", ""
"movil-100", "84:10:d:5c:cb:75", "193800", "-27.358253,-65.581161", "27° 21' 29.7" S, 65° 34' 52.2" W", ""
"movil-100", "84:10:d:5c:cb:75", "174784", "-27.358252,-65.581161", "27° 21' 29.7" S, 65° 34' 52.2" W", ""
"movil-100", "84:10:d:5c:cb:75", "198322", "0.0,0.0", "n/d", ""
"movil-100", "84:10:d:5c:cb:75", "230719", "0.0,0.0", "n/d", ""
"movil-100", "84:10:d:5c:cb:75", "194174", "0.0,0.0", "n/d", ""
